PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
535377090,90,RL,64.0,6979,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,Duplex,SFoyer,6,5,1980,1980,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,1056.0,Unf,0.0,0.0,1056.0,GasA,Gd,Y,SBrkr,1056,0,0,1056,2.0,0.0,0,0,0,2,TA,4,Typ,0,,Detchd,1980.0,Unf,2.0,576.0,TA,TA,Y,264,56,0,0,0,0,,GdPrv,Shed,600,6,2010,WD ,Normal,144000
902102100,50,RM,60.0,4800,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,5,1900,1954,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,771.0,TA,TA,PConc,TA,TA,No,ALQ,48.0,Unf,0.0,661.0,709.0,GasA,TA,Y,SBrkr,1157,687,0,1844,1.0,0.0,1,0,3,1,TA,9,Min2,2,Gd,Basment,1900.0,Unf,1.0,240.0,TA,TA,Y,84,0,0,0,0,0,,,,0,1,2010,COD,Abnorml,80400
902104060,50,RM,55.0,8800,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,7,1910,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,0.0,Unf,0.0,576.0,576.0,GasA,Gd,Y,SBrkr,792,348,0,1140,0.0,0.0,1,0,3,1,TA,7,Min2,0,,,,,0.0,0.0,,,N,0,160,0,0,0,0,,,,0,6,2010,WD ,Normal,96500
902106130,30,RM,56.0,4485,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,7,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,BLQ,579.0,Unf,0.0,357.0,936.0,GasA,TA,Y,SBrkr,936,0,0,936,1.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,,,,0.0,0.0,,,P,51,0,135,0,0,0,,MnPrv,,0,5,2010,WD ,Normal,109500
902106140,30,RM,56.0,8960,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1008.0,1008.0,GasA,Gd,Y,FuseA,1028,0,0,1028,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1927.0,Unf,2.0,360.0,TA,TA,Y,0,0,130,0,0,0,,,,0,3,2010,WD ,Normal,115000
902110090,20,RM,69.0,5805,Pave,Grvl,Reg,Bnk,AllPub,Inside,Mod,OldTown,Norm,Norm,1Fam,1Story,5,7,1957,1957,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,274.0,Rec,1073.0,0.0,1347.0,GasA,Gd,Y,SBrkr,1347,0,0,1347,1.0,1.0,1,0,3,1,Gd,6,Typ,0,,Detchd,1957.0,Unf,2.0,551.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2010,WD ,Normal,143000
902125080,50,RM,60.0,5790,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,1950,Gambrel,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,840.0,840.0,GasA,Gd,N,SBrkr,840,765,0,1605,0.0,0.0,2,0,3,2,TA,8,Typ,0,,Detchd,1915.0,Unf,1.0,379.0,TA,TA,Y,0,0,202,0,0,0,,,,0,5,2010,WD ,Normal,107400
902125160,30,RM,47.0,4608,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,747.0,747.0,GasA,TA,Y,SBrkr,747,0,0,747,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Attchd,1945.0,Unf,1.0,220.0,TA,TA,Y,0,0,0,0,0,0,,,,0,6,2010,WD ,Normal,80000
902128170,30,RM,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,7,1940,1992,Gable,CompShg,MetalSd,MetalSd,Stone,294.0,TA,Gd,CBlock,TA,TA,No,BLQ,510.0,Unf,0.0,278.0,788.0,GasA,TA,Y,SBrkr,804,0,0,804,1.0,0.0,1,0,2,1,Gd,4,Typ,2,Gd,Attchd,1940.0,Unf,1.0,240.0,TA,TA,Y,0,0,154,0,0,0,,MnPrv,,0,2,2010,WD ,Abnorml,119000
902206040,50,RM,50.0,5500,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,LwQ,234.0,ALQ,692.0,0.0,926.0,GasA,TA,Y,SBrkr,926,0,390,1316,1.0,0.0,1,0,3,1,TA,6,Typ,0,,Detchd,1974.0,Unf,2.0,484.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2010,WD ,Normal,130000
